Componentes Principales,NUM_SECC_RUR,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Autocorr_LNE
CP1,-0.01939582447610841,-0.06200948363496714,-0.043626462383157275,-0.3348675900577761,0.6122531362831798,0.5537606929977653,0.44747541479179614
CP2,0.20642117430131451,0.6560645566661336,0.5727641438837371,0.29680150729089955,0.13275940251447002,-0.07962829423823492,0.2947099808934639
CP3,0.6387778647360681,-0.15557432088080775,-0.48844090474979573,0.3862080947430907,0.10449908091946014,-0.20403254067324056,0.35704190897040133
CP4,0.6264394706394769,0.3457935065102892,-0.09475373824263227,-0.5299976084632139,-0.14960115170615565,0.19708850428520824,-0.3700004344313435
CP5,-0.02175580925125578,0.12584724340715223,-0.1560430945917199,0.6022876732712722,0.03369482143479495,0.6561522217283303,-0.40610120447471476
CP6,-0.3922507816730734,0.6365274385092334,-0.6297013757727583,-0.07336562561922315,0.059559044542092994,-0.16926030749990756,0.08288229694815699
CP7,-0.04708013362136629,0.03086898630152798,-0.040148585248345345,-0.039817691795363305,-0.754677318376736,0.38386258439498716,0.5260654623284602
