Componentes Principales,NUM_SECC_RUR,log(LNE),log(Densidad_LNE),Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE
CP1,-0.041637697101718996,-0.010499027290763898,-0.024975814521314726,-0.30097121995559756,0.47723622820683886,0.5391983241658179,0.5462677258402558,0.30008486710003784
CP2,0.48890596726006214,0.6211664039122063,0.12366233262842054,0.3630324963498602,0.20591857115574966,-0.09112797575759098,-0.06373863753730269,0.4162558204800896
CP3,0.5066085739504095,-0.09648379851642476,-0.8218080930506377,-0.23009015164615007,-0.028313335851074692,-0.04465147694020551,-0.05319987615140028,-0.010148080272524928
CP4,0.3806585888210501,0.37800152747418275,0.26474210696887474,-0.30286612359489873,-0.3148066079487489,0.2528072858273261,0.22565170082906924,-0.5800553402026419
CP5,0.023291603466926374,0.09370173318008382,0.25508219954480915,-0.7830724989050029,0.1498702917720069,-0.34631714772632644,-0.3363287637317495,0.23852528348708107
CP6,0.5971776149055955,-0.6724349054342575,0.41608028795396185,0.09741053612180366,0.05849311594922474,0.021425559480045292,-0.0046105224227868495,0.06853334595948657
CP7,-0.019448297434384754,-0.02368855745812355,0.020573254097718853,-0.10115548470980483,-0.7770932126662528,0.15318763624844617,0.15153797156514937,0.5814644057928129
CP8,-0.01192518782973059,0.018382772532278886,-0.0037306620605640083,0.005530051603779726,0.013485881641118067,0.7008527004892389,-0.7125152558536618,0.020518227218636404
